,rooms,floors,area_outside,area,link,address,hind,maakond
963,3,3/9,,65.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-laanemere-tee/2773725,"Läänemere tee 2,Lasnamäe linnaosa, Tallinn, Harju maakond",145000,harju
964,2,1/5,,50.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-ehte-tn/2360118,"Ehte tn 5,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",109000,harju
965,3,1/5,,46.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-retke-tee/4540055,"Retke tee 28,Mustamäe linnaosa, Tallinn, Harju maakond",132900,harju
966,3,7/9,,60.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-sopruse-pst/5992798,"Sõpruse pst 196, Kristiine ja Mustamäe piiril,Kristiine linnaosa, Tallinn, Harju maakond",169500,harju
967,3,7/9,,60.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-sopruse-pst/5919289,"Sõpruse pst 196, Mustamäe ja Kristiine piiril,Mustamäe linnaosa, Tallinn, Harju maakond",169500,harju
968,3,5/5,,61.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-sole-tn/5682701,"Sõle tn,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",143000,harju
969,2,6/9,,49.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-vikerlase-tn/8751860,"Vikerlase tn 17, Laagna,Lasnamäe linnaosa, Tallinn, Harju maakond",128000,harju
970,3,1/4,,78.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-katusepapi-tn/4221460,"Katusepapi tn 12, Sikupilli,Lasnamäe linnaosa, Tallinn, Harju maakond",249900,harju
971,2,2/5,,43.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-asunduse-tn/2151734,"Asunduse tn 3,Lasnamäe linnaosa, Tallinn, Harju maakond",138000,harju
972,3,1/2,,46.1,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-loksa-linn-nooruse-tn/7996114,"Nooruse tn 7,Loksa linn, Harju maakond",27900,harju
973,6,,,220,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-loksa-linn-parna-tn/3932909,"Pärna tn 7,Loksa linn, Harju maakond",165000,harju
974,1,1/5,,32.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-arbu-tn/1520944,"Arbu tn 11,Lasnamäe linnaosa, Tallinn, Harju maakond",82000,harju
975,2,3/5,,52.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/3962152,"Õismäe tee 147,Haabersti linnaosa, Tallinn, Harju maakond",136000,harju
976,1,5/5,,32.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/3571028,"Punane tn 65,Lasnamäe linnaosa, Tallinn, Harju maakond",84500,harju
977,4,3/3,,108,https://city24.ee/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-padriku-tee/1656946,"Padriku tee 7/5,Pirita linnaosa, Tallinn, Harju maakond",285000,harju
