,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
67,renoveeritud,3.0,3.0,65.0,1.0,9.0,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",155000.0,E,paneelmaja,1980.0,elektriküte,dušš,,külmik,,,"telefon,internet,kaabel-TV",3.0,,79.0,145.0,10167601,jah,rõdu,,,,,,,,,,,,
68,uusehitis,3.0,2.0,62.5,3.0,4.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",194900.0,,kivimaja,2006.0,keskküte,"tsentraalne kanalisatsioon,dušš,wc ja vannituba eraldi,saun,pesumasin",1.0,"mööbli võimalus,külmik",panipaik,elektripliit,"telefon,internet",,,,,,jah,,"tasuta parkimine,kindel parkimiskoht kinnistul",rullmaterjal,,,,,,,,,,
69,"uus viimistlus,uusehitis,valmis",2.0,1.0,41.0,2.0,4.0,korteriomand,"trepikoda lukus,turvauks,turvasüsteem,videokaamerad",189900.0,A,betoonmaja,2022.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,garderoob,,"internet,digi-TV,telefon",,,,,,jah,prantsuse rõdu,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul,tasuta parkimine,parkimiskoht garaažis",,,,,,,,,,,
70,renoveeritud,2.0,1.0,44.0,1.0,5.0,korteriomand,,104900.0,D,paneelmaja,1963.0,,,1.0,,,gaasipliit,,,,,,,,,,,,,,,,,,,,
71,valmis,2.0,1.0,35.4,2.0,4.0,korteriomand,"trepikoda lukus,turvauks",92000.0,F,kivimaja,,keskküte,"tsentraalne kanalisatsioon,dušš",1.0,mööbel,kelder,gaasipliit,"digi-TV,internet",,,,,,,,tasuta parkimine,eterniit,,,,,sundventilatsioon,,,,,
72,"valmis,renoveeritud",1.0,1.0,23.5,1.0,2.0,korteriomand,"trepikoda lukus,naabrivalve,turvauks",83900.0,H,puitmaja,1952.0,,"tsentraalne kanalisatsioon,boiler,pesumasin,dušš",1.0,"kinnine hoov,mööbel,mööbli võimalus",,,"digi-TV,internet,telefon",,,,,,,,"tasuta parkimine,kindel parkimiskoht kinnistul",,,,,,,,,,,
73,,4.0,3.0,118.4,2.0,3.0,,trepikoda lukus,479900.0,B,kivimaja,2022.0,,"dušš,tsentraalne kanalisatsioon,wc ja vannituba eraldi,saun,vann",2.0,,"kelder,panipaik",,,12.1,,,,,,"rõdu,terrass",parkimiskoht maa-aluses garaažis,,,,,,konditsioneer,,,,,
74,valmis,2.0,1.0,49.6,12.0,15.0,korteriomand,"trepikoda lukus,turvauks,naabrivalve",175000.0,D,kivimaja,2006.0,"põrandaküte,keskküte","pesumasin,dušš",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",,,90.0,160.0,,jah,,,,,,,,,,,,,
75,,2.0,1.0,47.3,4.0,5.0,korteriomand,trepikoda lukus,113000.0,E,kivimaja,1969.0,keskküte,"wc ja vannituba eraldi,vann",1.0,,kelder,gaasipliit,"kaabel-TV,internet",,,,,,,rõdu,,,,,,,,,,,,
76,,5.0,4.0,101.0,,,korteriomand,,307000.0,A,kivimaja,2023.0,maaküte,"vann,saun",,,,,internet,23.0,,,,15740650,,rõdu,,,,,,,,,,,,
