,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
321,"Pirita tee 20a/2, Kadriorg, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,64.1,8,10,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",900.0,B,kivimaja,2018,jah,,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,6.70,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
322,"Puhangu tn 10, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,,1,,,24.0,3,5,"turvauks,trepikoda lukus",mööbel,375.0,D,paneelmaja,1970,,,keskküte,,"kaabel-TV,internet",,,,korteriomand,,,,,,,,,"dušš,vann,boiler,pesumasin",,,,,,,harju
323,"Alvari tn 18, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,,49.8,2,7,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",650.0,,,2017,jah,,põrandaküte,,"kaabel-TV,telefon,internet",,rõdu,4.20,korteriomand,,80.00,140.00,,,,,panipaik,"dušš,vann,pesumasin",,,,,,,harju
324,"Endla tn 31, Kristiine, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,,37.7,4,4,trepikoda lukus,"mööbel,külmik",550.0,energiamärgis määramata,kivimaja,1957,,,keskküte,gaasipliit,,,,,korteriomand,,100.00,190.00,,,,,,"dušš,vann,pesumasin",,,,,,,harju
325,"Õismäe tee 142, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,,1,,,32.7,7,9,"turvauks,trepikoda lukus","mööbel,külmik",300.0,E,paneelmaja,1976,jah,,keskküte,elektripliit,"internet,digi-TV",,klaasitud rõdu,2.00,korteriomand,,55.00,125.00,,,,tasuta parkimine,panipaik,vann,,,,,,,harju
326,"Kaupmehe tn 6, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,"renoveeritud,valmis,uus viimistlus",2,1,1,52.0,7,8,"turvauks,trepikoda lukus,videokaamerad","kinnine hoov,mööbel,TV,külmik",650.0,energiamärgis määramata,betoonmaja,2004,jah,,keskküte,elektripliit,"digi-TV,internet",sundventilatsioon,,,korteriomand,"vesi,elekter,kõik kommunaalteenused",,,650.00,780.00,,tasuline parkimine,garderoob,"pesumasin,dušš",,,,,,,harju
327,"Paasiku tn 28, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,,,34.0,7,9,"trepikoda lukus,turvauks","mööbel,mööbli võimalus,TV,külmik",380.0,,paneelmaja,,jah,,keskküte,elektripliit,"digi-TV,telefon,internet",,"kinnine rõdu,rõdu",,,,,,,,,tasuta parkimine,garderoob,"tsentraalne kanalisatsioon,dušš,vann,pesumasin",,,,,,,harju
328,"Mustamäe tee 96, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,,1,,,31.0,3,5,"trepikoda lukus,turvauks",külmik,300.0,,paneelmaja,,,,keskküte,gaasipliit,,,rõdu,,,,,,300.00,300.00,,tasuta parkimine,,,,,,,,,harju
329,"Uus-Merihobu tee 3, Meremõisa küla, Lääne-Harju vald, Harju maakond","Meremõisa küla, Lääne-Harju vald, Harju maakond",2023-01-13,"uusehitis,uus viimistlus",1,,1,39.0,2,3,,mööbel,490.0,,kivimaja,2009,,,,elektripliit,,,,,korteriomand,,,,,,,tasuta parkimine,,"vann,pesumasin",,,,,,,harju
330,"Pajude pst 3, Laagri alevik, Saue vald, Harju maakond","Laagri alevik, Saue vald, Harju maakond",2023-01-13,,2,1,1,43.0,2,3,"turvauks,trepikoda lukus",mööbel,499.0,,,,,,"keskküte,põrandaküte",,,,,,,,,,,,,,,dušš,,,,,,,harju
331,"Majaka tn 38, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,1,1,45.3,2,2,,,490.0,energiamärgis määramata,kivimaja,1950,,,,gaasipliit,,,,,korteriomand,,,,,,0,,,,,,,,,,harju
332,"Kentmanni tn 28, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,1,50.5,4,6,,,750.0,B,paneelmaja,2022,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
333,"Kadaka tee 175, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,,,30.0,1,5,trepikoda lukus,"mööbel,külmik",500.0,C,paneelmaja,1976,,,keskküte,,,,,,korteriomand,,70.00,110.00,,,,,,"dušš,pesumasin",,,,,,,harju
