,0
186,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/6533758
187,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/6998971
188,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/2717116
189,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3041198
190,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3756125
191,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/9049671
192,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/4163213
193,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-jaama-tn/1834037
194,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-anne-tn/2110764
195,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-narva-mnt/2320163
196,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-laane-tn/3982539
197,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kalda-tee/4119850
198,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-puiestee-tn/3616318
199,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-elva-linn-tartu-mnt/3145680
200,https://city24.ee/real-estate/apartments-for-sale/elva-vald-ulila-alevik-kesk-tn/2036333
201,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-kvartsi-tn/3620626
202,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kummeli/4536813
203,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-j-kuperjanovi-tn/4060424
204,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-onne-tn/7002150
205,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-supilinn-tahtvere-tn/1176626
206,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-sopruse-pst/2058225
207,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-tahtvere-tn/2496437
208,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-fortuuna-tn/1361005
209,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-fortuuna-tn/8431807
210,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-fortuuna-tn/9310384
211,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/2629508
212,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/8212082
213,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/7286886
214,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/3666862
215,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/3900693
216,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-purde-tn/7305902
217,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-lai/4421217
218,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-lai/7699405
219,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-poik-/6002781
220,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-staadioni-/3759609
221,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-staadioni-/3889103
222,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/8900162
223,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/6610077
224,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/2298824
225,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/3415442
226,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaunase-pst/6401409
227,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/4438250
228,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-tahtvere-tiksoja-tee/6414502
229,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-tahtvere-f-r-kreutzwaldi/7134483
230,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/4866023
231,https://city24.ee/real-estate/apartments-for-sale/luunja-vald-lohkva-kula-pillikoori-poik/3400422
232,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-lossi/8212182
233,https://city24.ee/real-estate/apartments-for-sale/luunja-vald-lohkva-kula-salu-tee/5656148
234,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-elva-linn-kirde-tn/3978849
235,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-lepa-tn/5092301
236,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-parna-tn/7170632
237,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-staadioni-tn/8298502
238,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-parna-allee/1066425
239,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-siili-tn/9114609
240,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-tahtvere-tn/5163841
241,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-riia-tn/8654903
242,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese/5296862
243,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese/6549350
244,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-sopruse-pst/1115650
245,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kalda-tee/1664576
246,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaunase-pst/2699823
247,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-parna-allee/7797456
248,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/3159572
249,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/2364772
250,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-raatuse-tn/7663503
251,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-raatuse-tn/4672186
252,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ropka-rahu-tn/5830316
253,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ropka-pargi-tee/7051723
254,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-supilinn-marja-tn/7156500
255,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-supilinn-marja-tn/4947832
256,https://city24.ee/real-estate/apartments-for-sale/kambja-vald-ulenurme-alevik-mannikabi-tn/1317661
257,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-pepleri-tn/9247041
258,https://city24.ee/real-estate/apartments-for-sale/kambja-vald-ulenurme-alevik-paruni-tn/6475945
259,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee-11/5992717
260,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/1654912
261,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/1208105
262,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/4370227
263,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/1542533
264,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/8001722
265,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/7048619
266,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/5556540
267,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/3008380
268,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/8926403
269,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/4566301
270,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/1977374
271,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/2297335
272,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/6784597
273,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/5430780
274,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/4600223
275,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/2861459
276,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/1032141
277,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-keskuse-tee/8133524
278,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-keskuse-tee/2399739
