,address,rooms,bedrooms,area,floor,total_floors,price,energy_label,year,maakond,city,district,flag_balcony,flag_lift,flag_shower,flag_bath,flag_sauna,flag_generalheat,flag_floorheat,flag_gasheat,flag_electricalheat,flag_brick,flag_panel,flag_beton,flag_stone,flag_wood,flag_newbuilding,flag_indevelopment,flag_renovated,flag_needsrenovation,zipcode,lat,lng
2190,"Uuspere tee 8/3-26, Tiskreoja, Tiskre küla, Harku vald, Harju maakond",4.0,3.0,92.8,3.0,3.0,299900.0,B,2023.0,harju, Harku vald,Tiskre küla,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,76924,59.4329945,24.586192
2191,"Aaslina tn 3-2, Haabersti linnaosa, Tallinn, Harju maakond",4.0,3.0,87.0,1.0,3.0,257200.0,B,2022.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,59.42673079999999,24.6313208
2192,"Tiskrevälja tn 59-4, Haabersti linnaosa, Tallinn, Harju maakond",3.0,2.0,61.0,1.0,3.0,199900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,13516,59.43919950000001,24.5655178
2193,"Liivalaia tn 21, Kesklinna linnaosa, Tallinn, Harju maakond",3.0,2.0,94.8,7.0,12.0,375000.0,E,2005.0,harju, Tallinn,Kesklinna linnaosa,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,10116,59.42868499999999,24.751337
2194,"Tiskrevälja tn 61-3, Haabersti linnaosa, Tallinn, Harju maakond",3.0,2.0,79.6,1.0,3.0,229900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13516,59.43919950000001,24.5655178
2195,"Hansu tn 39-8, Haabersti linnaosa, Tallinn, Harju maakond",2.0,1.0,56.7,2.0,3.0,179900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13516,59.42483179999999,24.6287749
2196,"Tiskrevälja tn 61-11, Haabersti linnaosa, Tallinn, Harju maakond",5.0,4.0,144.9,3.0,3.0,339900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13516,59.43919950000001,24.5655178
2197,"Tiskrevälja tn 61-2, Haabersti linnaosa, Tallinn, Harju maakond",3.0,2.0,79.0,1.0,3.0,229900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13516,59.43919950000001,24.5655178
2198,"Aaslina tn 8-1, Haabersti linnaosa, Tallinn, Harju maakond",3.0,2.0,68.7,1.0,3.0,189900.0,B,2022.0,harju, Tallinn,Haabersti linnaosa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,76710,59.3344943,24.2870389
2199,"Tiskrevälja tn 74-3, Haabersti linnaosa, Tallinn, Harju maakond",4.0,3.0,98.0,1.0,3.0,259900.0,B,2023.0,harju, Tallinn,Haabersti linnaosa,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,13516,59.4377074,24.5602368
